polo_id,campus_id,name,bloco_id,capacidade,permite_reserva
Arapiraca,Campus Arapiraca,Sala 1 - VÍDEO,A,30,True
Arapiraca,Campus Arapiraca,Sala 17,A,15,True
Arapiraca,Campus Arapiraca,LAMP,C,20,True
Arapiraca,Campus Arapiraca,Reunião 2,B,25,True
Arapiraca,Campus Arapiraca,Reunião 4,B,15,True
Arapiraca,Campus Arapiraca,Sala 23,C,18,True
Arapiraca,Campus Arapiraca,CID,A,20,True
Arapiraca,Campus Arapiraca,Sala 2,B,13,True
Arapiraca,Campus Arapiraca,LECC 2,C,30,True
Arapiraca,Campus Arapiraca,LECC 1,C,30,True
Arapiraca,Campus Arapiraca,LAB 1 - NTI,A,25,True
Arapiraca,Campus Arapiraca,Sala de Reuniões,Coordenações,25,True
Arapiraca,Campus Arapiraca,Indefinido Bloco A,A,100,True
Arapiraca,Campus Arapiraca,Indefinido Bloco B,B,100,True
Arapiraca,Campus Arapiraca,Indefinido Bloco C,C,100,True
Penedo,Campus Arapiraca,Indefinido Penedo,Central Penedo,100,True
Palmeira dos Índios,Campus Arapiraca,Indefinido Palmeira,Central Palmeira,100,True
Arapiraca,Campus Arapiraca,CIRCULAÇAO,Coordenações,0,False
Arapiraca,Campus Arapiraca,REPROGRAFIA,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA DE CURSOS,Coordenações,0,False
Arapiraca,Campus Arapiraca,SEGURANÇA ,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE REGISTRO E CONTROLE ACADÊMICO,Coordenações,0,False
Arapiraca,Campus Arapiraca,DEPARTAMENTO DE SERVIÇOS GERAIS E PATRIMONIO,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA EXECUTIVA ,Coordenações,0,False
Arapiraca,Campus Arapiraca,ADMINISTRAÇAO,Coordenações,0,False
Arapiraca,Campus Arapiraca,COPA ADMINISTRAÇÃO,Administrativo Arapiraca,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE QUÍMICA,Administrativo Arapiraca,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE FÍSICA,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE ZOOTECNIA,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DO TRONCO INICIAL,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE AGRONOMIA,Coordenações,0,False
Arapiraca,Campus Arapiraca,WC PRIVATIVO 1,Coordenações,0,False
Arapiraca,Campus Arapiraca,WC PRIVATIVO 2,Coordenações,0,False
Arapiraca,Campus Arapiraca,WC FEMININO,Coordenações,0,False
Arapiraca,Campus Arapiraca,WC MASCULINO,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA CRCA,Coordenações,0,False
Arapiraca,Campus Arapiraca,CRCA,Coordenações,0,False
Arapiraca,Campus Arapiraca,ARQUIVO CRCA,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA DIREÇÃO ACADÊMICA,Coordenações,0,False
Arapiraca,Campus Arapiraca,DIREÇÃO ACADÊMICA,Coordenações,0,False
Arapiraca,Campus Arapiraca,WC DIREÇÃO ACADÊMICA,Coordenações,0,False
Arapiraca,Campus Arapiraca,ARQUIVO DIREÇÃO ACADÊMICA,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA 1,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 1,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 2,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 3,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA 2,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 4,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 5,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 6,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA 3,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 7,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 8,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 9,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA 4,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 10,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 11,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 12,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA 5,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 13,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 14,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA 15,Coordenações,0,False
Arapiraca,Campus Arapiraca,REUNIÃO,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA DE NÚCLEO,Coordenações,0,False
Arapiraca,Campus Arapiraca,NÚCLEO 1,Coordenações,0,False
Arapiraca,Campus Arapiraca,NÚCLEO 2,Coordenações,0,False
Arapiraca,Campus Arapiraca,NÚCLEO 3,Coordenações,0,False
Arapiraca,Campus Arapiraca,COPA COORDENAÇÕES,Coordenações,0,False
Arapiraca,Campus Arapiraca,WC MASCULINO,Coordenações,0,False
Arapiraca,Campus Arapiraca,WC FEMININO,Coordenações,0,False
Arapiraca,Campus Arapiraca,CIRCULAÇÃO,Coordenações,0,False
Arapiraca,Campus Arapiraca,ACESSO PRINCIPAL,Coordenações,0,False
Arapiraca,Campus Arapiraca,Laboratório de Química,Coordenações,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE CIENCIAS,Coordenações,30,False
Arapiraca,Campus Arapiraca,LABORATORIO DE ENFERMAGEM,Coordenações,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE ZOOETECNIA E AGRONOMIA,Coordenações,0,False
Arapiraca,Campus Arapiraca,GRUPO  DE ENFERMAGEM ,Coordenações,0,False
Arapiraca,Campus Arapiraca,ANTESALA AUDITORIO,Coordenações,0,False
Arapiraca,Campus Arapiraca,AUDITORIO,Coordenações,0,False
Arapiraca,Campus Arapiraca,SALA DE MULTIMÍDIA ,A,0,False
Arapiraca,Campus Arapiraca,SALA DE AULA TIPO 1,A,0,False
Arapiraca,Campus Arapiraca,SALA DE AULA TIPO 2,A,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE FISICA,A,0,False
Arapiraca,Campus Arapiraca,WC FEMININO,A,0,False
Arapiraca,Campus Arapiraca,WC MASCULINO,A,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE EDUCAÇAO FISICA 1,A,0,False
Arapiraca,Campus Arapiraca,SALA DE PRANCHETAS 1,A,0,False
Arapiraca,Campus Arapiraca,SALA DE PRANCHETAS 2,A,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE EDUCAÇÃO FISICA 2,A,0,False
Arapiraca,Campus Arapiraca,ALMOXARIFADO,A,0,False
Arapiraca,Campus Arapiraca,WC FEMININO,L,0,False
Arapiraca,Campus Arapiraca,WC MASCULINO,L,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE ANATOMIA,L,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE ENSINO DE  MATEMATICA,L,0,False
Arapiraca,Campus Arapiraca,LABORATORIO SINTESE ORGANICA MEDICINAL,L,0,False
Arapiraca,Campus Arapiraca,LOBORATORIO BIOSPECKLE,L,0,False
Arapiraca,Campus Arapiraca,LABORATORIO HOLOGRAFIA,L,0,False
Arapiraca,Campus Arapiraca,LABORATORIO PRATICAS PEDAGÓGICAS EM CIENCIAS BIOLOGICAS E DE SAUDE,L,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE QUIMICA DOS SOLOS,Laboratórios de Ciências Agrárias,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE FISICA DOS SOLOS ,Laboratórios de Ciências Agrárias,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE ENTOMOLOGIA,Laboratórios de Ciências Agrárias,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE RECURSOS GENETICOS,Laboratórios de Ciências Agrárias,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE FITOPATOLOGIA,Laboratórios de Ciências Agrárias,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE METEOROLOGIA ,Laboratórios de Ciências Agrárias,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE FISIOLOGIA VEGETAL,Laboratórios de Ciências Agrárias,0,False
Arapiraca,Campus Arapiraca,COPA LAB CIENCIAS AGRÁRIAS,Laboratórios de Ciências Agrárias,0,False
Arapiraca,Campus Arapiraca,REPOGRAFIA,C,0,False
Arapiraca,Campus Arapiraca,WC FEMININO,C,0,False
Arapiraca,Campus Arapiraca,WC MASCULINO,C,0,False
Arapiraca,Campus Arapiraca,SALA DE PROFESSOR TIPO 1,C,0,False
Arapiraca,Campus Arapiraca,SALA DE PROFESSOR  TIPO 2,C,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE INFORMATICA  CID,C,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE INFORMATICA  CIENCIA DA COMPUTAÇÃO ,C,0,False
Arapiraca,Campus Arapiraca,LABORATORIO DE INFORMATICA  ARQUITETURA,C,0,False
Arapiraca,Campus Arapiraca,LAMP GRUPO DE PESQUISA COMPUTAÇÃO,C,0,False
Arapiraca,Campus Arapiraca,G PESQUISA ENFERMAGEM PROSAUDE,C,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE EXTENSÃO E CULTURA,C,0,False
Arapiraca,Campus Arapiraca,COPA BLOCO C,C,0,False
Arapiraca,Campus Arapiraca,EMPRESA JR ADMINISTRAÇÃO,C,0,False
Arapiraca,Campus Arapiraca,Núcleo de Tecnologia da Informação,A,0,False
Arapiraca,Campus Arapiraca,SALA 01 - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 02 - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 03 - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 4A - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 4B - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 5A - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 5B - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 6A - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 6B - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 07 - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 08 - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 09 - BLOCO A,A,30,True
Arapiraca,Campus Arapiraca,SALA 10,A,30,True
Arapiraca,Campus Arapiraca,SALA 11,A,30,True
Arapiraca,Campus Arapiraca,SALA 13 - BLOCO B,B,30,True
Arapiraca,Campus Arapiraca,SALA 15 - BLOCO B,B,30,True
Arapiraca,Campus Arapiraca,SALA 17 - BLOCO B,B,30,True
Arapiraca,Campus Arapiraca,SALA 18 - BLOCO B,B,30,True
Arapiraca,Campus Arapiraca,SALA 19 -BLOCO B,B,30,True
Arapiraca,Campus Arapiraca,SALA 20 - BLOCO B,B,30,True
Arapiraca,Campus Arapiraca,SALA 21 - BLOCO B,B,30,True
Arapiraca,Campus Arapiraca,SALA 22 - BLOCO B,B,30,True
Arapiraca,Campus Arapiraca,SALA 25 - BLOCO C,C,30,True
Arapiraca,Campus Arapiraca,SALA 26 - BLOCO C,C,30,True
Arapiraca,Campus Arapiraca,SALA 27 - BLOCO C,C,30,True
Arapiraca,Campus Arapiraca,SALA 28 - BLOCO C,C,30,True
Arapiraca,Campus Arapiraca,BIBLIOTECA,A,0,False
Arapiraca,Campus Arapiraca,BIBLIOTECA,A,50,False
Arapiraca,Campus Arapiraca,COGRAD,Coordenações,40,False
Arapiraca,Campus Arapiraca,PLANEJAMENTO E AVALIAÇÃO,Coordenações,0,False
Arapiraca,Campus Arapiraca,PROJETO E OBRAS,Coordenações,0,False
Arapiraca,Campus Arapiraca,SIASS,Coordenações,0,False
Arapiraca,Campus Arapiraca,PROTOCOLO,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO EDUCAÇÃO FÍSICA,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO MATEMÁTICA,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE CIENCIA DA COMPUTAÇÃO,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE ARQUITETURA E URBANISMO,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE BIOLOGIA,Coordenações,0,False
Arapiraca,Campus Arapiraca,LABORATÓRIO DE BIOLOGIA,Coordenações,0,False
Arapiraca,Campus Arapiraca,SETOR DE COMPRAS,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE RECURSOS HUMANOS,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE ENFERMAGEM,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE MEDICINA,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE PEDAGOGIA,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO EAD DE QUÍMICA,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE ADMINISTRAÇÃO,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE ADMINISTRAÇÃO PÚBLICA,Coordenações,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE LETRAS,Coordenações,0,False
Arapiraca,Campus Arapiraca,SECRETARIA 6,L,0,False
Arapiraca,Campus Arapiraca,COORDENAÇÃO DE INFRAESTRUTURA,Coordenações,0,False
Arapiraca,Campus Arapiraca,DIREÇÃO GERAL,Coordenações,0,False
Arapiraca,Campus Arapiraca,NTI - MANUTENÇÃO,A,0,False
Viçosa,Campus Arapiraca,Administração,Administrativo,0,False
Viçosa,Campus Arapiraca,NAE,Administrativo,0,False
Viçosa,Campus Arapiraca,CRCA,Administrativo,0,False
Viçosa,Campus Arapiraca,Laboratório Multidisciplinar,Administrativo,0,False
Viçosa,Campus Arapiraca,Biblioteca,Administrativo,0,False
Viçosa,Campus Arapiraca,Secretaria Executiva,Administrativo,0,False
Viçosa,Campus Arapiraca,Laboratório de Biologia,Administrativo,0,False
Viçosa,Campus Arapiraca,Laboratório de Microscopia,Administrativo,0,False
Viçosa,Campus Arapiraca,Laboratório de Doenças Parasitárias,Administrativo,0,False
Viçosa,Campus Arapiraca,Laboratório de Química,Administrativo,0,False
Viçosa,Campus Arapiraca,Laboratório de Anatomia,Administrativo,0,False
Viçosa,Campus Arapiraca,Casa do Hóspede,Casa de hóspede,0,False
Viçosa,Campus Arapiraca,Ambulatório,Administrativo,0,False
Viçosa,Campus Arapiraca,Laboratório de Experimentação Alimentícia,Administrativo,10,True
Viçosa,Campus Arapiraca,Sala de Professor,Administrativo,0,False
