name,is_active,polo_id,sigla
NTI,True,ARAPIRACA,NTI
SECRETARIA DE CURSOS,True,ARAPIRACA,SC
NÚCLEO PEDAGÓGICO,True,ARAPIRACA,NP
BIBLIOTECA,True,ARAPIRACA,BBL
CRCA,True,ARAPIRACA,CRCA
NAE,True,ARAPIRACA,NAE
COORDENADORIA DE RECURSOS HUMANOS,True,ARAPIRACA,CDR
DSG-PATRIMÔNIO,True,ARAPIRACA,DSG-PAT
DIREÇÃO ACADÊMICA,True,ARAPIRACA,DIR-ACA
LICENÇA CAPACITAÇÃO,True,ARAPIRACA,LICAP
COINFRA,True,ARAPIRACA,COINFRA
SECRETARIA EXECUTIVA,True,ARAPIRACA,SE
SETOR DE TRANSPORTES,True,ARAPIRACA,ST
SECRETARIA DO CONSELHO,True,ARAPIRACA,SC
APOIO AO TRABALHADOR E ESTUDANTE,True,ARAPIRACA,ATE
TRANSPORTES,True,ARAPIRACA,TRA
ADMINISTRAÇÃO,True,ARAPIRACA,ADM
DSG-ALMOXARIFADO,True,ARAPIRACA,DSG-ALM
COORDENADORIA DE GRADUAÇÃO,True,ARAPIRACA,COGRAD
Biblioteca-VIC,True,VIÇOSA,BIB VIC
DIREÇÃO GERAL,True,ARAPIRACA,DIR GER
